ccf_ap	ccf_dv	ccf_lr	allen_ontology
9250.2	2651.1	2783.3	SUB
9244.8	2631.8	2767.3	SUB
9264.2	2631.8	2792.7	SUB
9239.4	2612.6	2751.3	SUB
9258.8	2612.6	2776.6	SUB
9253.4	2593.4	2760.6	SUB
9272.9	2593.4	2786	SUB
9248.1	2574.1	2744.6	SUB
9267.5	2574.1	2770	SUB
9262.1	2554.9	2753.9	SUB
9281.6	2554.9	2779.3	SUB
9256.7	2535.6	2737.9	SUB
9270.8	2516.4	2747.3	SUB
9290.3	2516.4	2772.7	SUB
9265.4	2497.2	2731.2	SUB
9284.9	2497.2	2756.6	SUB
9279.5	2477.9	2740.6	SUB
9299	2477.9	2766	SUB
9274.1	2458.7	2724.6	SUB
9293.6	2458.7	2749.9	SUB
9288.2	2439.5	2733.9	SUB
9307.7	2439.5	2759.3	SUB
9282.8	2420.2	2717.9	SUB
9302.3	2420.2	2743.3	SUB
9296.9	2401	2727.2	SUB
9316.4	2401	2752.6	SUB
9291.5	2381.8	2711.2	SUB
9311	2381.8	2736.6	SUB
9305.6	2362.5	2720.6	SUB
9325.1	2362.5	2746	SUB
9300.2	2343.3	2704.5	SUB
9319.7	2343.3	2729.9	SUB
9314.3	2324.1	2713.9	SUB
9333.8	2324.1	2739.3	SUB
9308.9	2304.8	2697.9	SUB
9328.4	2304.8	2723.2	SUB
9323	2285.6	2707.2	SUB
9342.5	2285.6	2732.6	SUB
9317.6	2266.4	2691.2	SUB
9337.1	2266.4	2716.6	SUB
9331.7	2247.1	2700.5	root
9351.2	2247.1	2725.9	root
9326.3	2227.9	2684.5	root
9345.8	2227.9	2709.9	root
9340.4	2208.7	2693.9	root
9359.9	2208.7	2719.3	root
9335	2189.4	2677.8	root
9354.5	2189.4	2703.2	root
9368.6	2170.2	2712.6	root
9343.7	2151	2671.2	root
9363.2	2151	2696.6	VISp
9357.8	2131.7	2680.5	VISp
9377.3	2131.7	2705.9	VISp
9352.4	2112.5	2664.5	VISp
9371.9	2112.5	2689.9	VISp
9366.5	2093.3	2673.8	VISp
9386	2093.3	2699.2	VISp
9361.1	2074	2657.8	VISp
9380.6	2074	2683.2	VISp
9375.2	2054.8	2667.2	VISp
9394.7	2054.8	2692.6	VISp
9369.8	2035.6	2651.1	VISp
9389.3	2035.6	2676.5	VISp
9383.9	2016.3	2660.5	VISp
9403.3	2016.3	2685.9	VISp
9378.5	1997.1	2644.5	VISp
9397.9	1997.1	2669.9	VISp
9392.6	1977.8	2653.8	VISp
9412	1977.8	2679.2	VISp
9387.2	1958.6	2637.8	VISp
9406.6	1958.6	2663.2	VISp
9401.2	1939.4	2647.1	VISp
9420.7	1939.4	2672.5	VISp
9395.9	1920.1	2631.1	VISp
9415.3	1920.1	2656.5	VISp
9409.9	1900.9	2640.5	VISp
9429.4	1900.9	2665.9	VISp
9404.5	1881.7	2624.4	VISp
9424	1881.7	2649.8	VISp
9418.6	1862.4	2633.8	VISp
9438.1	1862.4	2659.2	VISp
9413.2	1843.2	2617.8	VISp
9432.7	1843.2	2643.2	VISp
9427.3	1824	2627.1	VISp
9446.8	1824	2652.5	VISp
9421.9	1804.7	2611.1	VISp
9436	1785.5	2620.4	VISp
9455.5	1785.5	2645.8	VISp
9430.6	1766.3	2604.4	VISp
9450.1	1766.3	2629.8	VISp
9444.7	1747	2613.8	VISp
9464.2	1747	2639.2	VISp
9439.3	1727.8	2597.7	VISp
9458.8	1727.8	2623.1	VISp
9453.4	1708.6	2607.1	VISp
9472.9	1708.6	2632.5	VISp
9448	1689.3	2591.1	VISp
9467.5	1689.3	2616.5	VISp
9462.1	1670.1	2600.4	VISp
9481.6	1670.1	2625.8	VISp
9456.7	1650.9	2584.4	VISp
9476.2	1650.9	2609.8	VISp
9470.8	1631.6	2593.8	VISp
9490.3	1631.6	2619.1	VISp
9465.4	1612.4	2577.7	VISp
9484.9	1612.4	2603.1	VISp
